ClientID,CookstoveType,StoveNumber,SigningDate,ContractCheckStatus,DoubleContractCheck,ClientNumberCheck
C984735785,Improved cookstove,DOD/K06446,17/11/2025,CheckNotPassed,Ok,2 Wrong
C984737299,Improved cookstove,DOD/K06846,17/11/2025,Approved,Ok,Ok
C984708728,Improved cookstove,DOD/K06804,17/11/2025,Approved,Ok,Ok
C001874314,Improved cookstove,DOD/K06577,17/11/2025,Approved,Ok,Ok
C001877298,Improved cookstove,DOD/K06840,17/11/2025,Approved,Ok,Ok
C002427061,Improved cookstove,DOD/K06874,17/11/2025,Approved,Ok,Ok
C002161190,Improved cookstove,DOD/K06538,17/11/2025,Approved,Ok,Ok
C105466296,Improved cookstove,DOD/K06899,17/11/2025,Approved,Ok,Ok
C992927233,Improved cookstove,DOD/K06524,17/11/2025,Approved,Ok,Ok
C984816746,Improved cookstove,DOD/K06434,17/11/2025,Approved,Ok,Ok
C984736821,Improved cookstove,DOD/K06875,17/11/2025,Approved,Ok,Ok
C002165396,Improved cookstove,DOD/K06913,17/11/2025,Approved,Ok,Ok
C992926338,Improved cookstove,DOD/K06870,17/11/2025,Approved,Ok,Ok
C984815422,Improved cookstove,DOD/K06637,17/11/2025,Approved,Ok,Ok
C001854144,Improved cookstove,DOD/K06851,17/11/2025,Approved,Ok,Ok
C984713678,Improved cookstove,DOD/K06926,17/11/2025,Approved,Ok,Ok
C984733912,Improved cookstove,DOD/K06674,17/11/2025,Approved,Ok,Ok
C984707365,Improved cookstove,DOD/K06668,17/11/2025,Approved,Ok,Ok
C001870903,Improved cookstove,DOD/K06688,17/11/2025,Approved,Ok,Ok
C001872631,Improved cookstove,DOD/K06640,17/11/2025,Approved,Ok,Ok
C992924939,Improved cookstove,DOD/K06975,17/11/2025,Approved,Ok,Ok
C002161488,Improved cookstove,DOD/K06986,17/11/2025,Approved,Ok,Ok
C001872690,Improved cookstove,DOD/K06825,17/11/2025,Approved,Ok,Ok
C984737272,Improved cookstove,DOD/K06627,17/11/2025,Approved,Ok,Ok
C995274919,Improved cookstove,DOD/K06520,17/11/2025,Approved,Ok,Ok
C984709693,Improved cookstove,DOD/K06958,17/11/2025,Approved,Ok,Ok
C001850102,Improved cookstove,DOD/K06992,17/11/2025,Approved,Ok,Ok
C002165699,Improved cookstove,DOD/K06810,17/11/2025,Approved,Ok,Ok
C001854538,Improved cookstove,DOD/K06618,17/11/2025,Approved,Ok,Ok
C984815172,Improved cookstove,DOD/K06931,17/11/2025,Approved,Ok,Ok
C984736878,Improved cookstove,DOD/K06772,17/11/2025,Approved,Ok,Ok
C001854313,Improved cookstove,DOD/K07347,17/11/2025,Approved,Ok,Ok
C984076080,Improved cookstove,DOD/K07067,17/11/2025,Approved,Ok,Ok
C995275615,Improved cookstove,DOD/K07085,17/11/2025,Approved,Ok,Ok
C002161757,Improved cookstove,DOD/K06703,17/11/2025,Approved,Ok,Ok
C002165217,Improved cookstove,DOD/K06631,17/11/2025,Approved,Ok,Ok
C009972175,Improved cookstove,DOD/K07761,17/11/2025,Approved,Ok,Ok
C984075105,Improved cookstove,DOD/K06973,17/11/2025,Approved,Ok,Ok
C984710548,Improved cookstove,DOD/K06971,17/11/2025,Approved,Ok,Ok
C002163262,Improved cookstove,DOD/K06995,17/11/2025,Approved,Ok,Ok
C002427847,Improved cookstove,DOD/K07089,17/11/2025,Approved,Ok,Ok
C009973371,Improved cookstove,DOD/K06868,17/11/2025,Approved,Ok,Ok
C984065327,Improved cookstove,DOD/K06541,17/11/2025,Approved,Ok,Ok
C001874084,Improved cookstove,DOD/K06890,17/11/2025,Approved,Ok,Ok
C992925408,Improved cookstove,DOD/K06594,17/11/2025,Approved,Ok,Ok
C002159292,Improved cookstove,DOD/K06531,17/11/2025,CheckNotPassed,Ok,Ok
C984812562,Improved cookstove,DOD/K06834,17/11/2025,Approved,Ok,Ok
C995273948,Improved cookstove,DOD/K06807,17/11/2025,Approved,Ok,Ok
C001873807,Improved cookstove,DOD/K06883,17/11/2025,Approved,Ok,Ok
C002165929,Improved cookstove,DOD/K06894,17/11/2025,Approved,Ok,Ok
C002164366,Improved cookstove,DOD/K06802,17/11/2025,Approved,Ok,Ok
